,Year,Season,Nums
28,2016,Summer,427
27,2014,Winter,63
26,2012,Summer,406
25,2010,Winter,86
24,2008,Summer,617
23,2006,Winter,74
22,2004,Summer,404
21,2002,Winter,67
20,2000,Summer,297
19,1998,Winter,56
18,1996,Summer,312
17,1994,Winter,24
15,1992,Summer,281
16,1992,Winter,32
13,1988,Summer,319
14,1988,Winter,13
12,1984,Winter,37
11,1984,Summer,262
10,1980,Winter,24
9,1976,Summer,25
8,1972,Summer,10
7,1968,Summer,11
6,1964,Summer,39
5,1960,Summer,4
4,1956,Summer,2
3,1952,Summer,5
2,1948,Summer,31
1,1936,Summer,54
0,1932,Summer,1
