,Year,Season,M-Nums,F-Nums,F-rate
0,1900,Summer,1197,23,0.0189
1,1904,Summer,644,6,0.0092
2,1906,Summer,835,6,0.0071
3,1908,Summer,1980,44,0.0217
4,1912,Summer,2356,53,0.022
5,1920,Summer,2597,78,0.0292
6,1924,Summer,3100,156,0.0479
7,1924,Winter,300,13,0.0415
8,1928,Summer,2934,312,0.0961
9,1928,Winter,433,28,0.0607
10,1932,Winter,231,21,0.0833
11,1932,Summer,1721,201,0.1046
12,1936,Summer,4121,361,0.0805
13,1936,Winter,588,80,0.1198
14,1948,Summer,3956,446,0.1013
15,1948,Winter,591,77,0.1153
16,1952,Summer,4410,521,0.1057
17,1952,Winter,585,109,0.1571
18,1956,Summer,2962,384,0.1148
19,1956,Winter,689,132,0.1608
20,1960,Summer,4735,613,0.1146
21,1960,Winter,521,144,0.2165
22,1964,Winter,894,200,0.1828
23,1964,Summer,4454,680,0.1325
24,1968,Winter,949,211,0.1819
25,1968,Summer,4769,783,0.141
26,1972,Summer,6045,1060,0.1492
27,1972,Winter,802,206,0.2044
28,1976,Summer,4810,1260,0.2076
29,1976,Winter,896,231,0.205
30,1980,Summer,4129,1123,0.2138
31,1980,Winter,836,235,0.2194
32,1984,Summer,5224,1567,0.2307
33,1984,Winter,995,277,0.2178
34,1988,Summer,6242,2202,0.2608
35,1988,Winter,1110,315,0.2211
36,1992,Winter,1313,488,0.271
37,1992,Summer,6660,2721,0.2901
38,1994,Winter,1216,522,0.3003
39,1996,Summer,6814,3512,0.3401
40,1998,Winter,1390,788,0.3618
41,2000,Summer,6576,4064,0.382
42,2002,Winter,1512,885,0.3692
43,2004,Summer,6252,4288,0.4068
44,2006,Winter,1539,955,0.3829
45,2008,Summer,6284,4603,0.4228
46,2010,Winter,1503,1032,0.4071
47,2012,Summer,5858,4646,0.4423
48,2014,Winter,1642,1102,0.4016
49,2016,Summer,6143,5031,0.4502
