,Sport,Nums
0,Alpine Skiing,16
1,Archery,14
2,Art Competitions,4
3,Athletics,344
4,Baseball,1
5,Basketball,23
6,Beach Volleyball,6
7,Bobsleigh,7
8,Boxing,50
9,Canoeing,5
10,Cycling,16
11,Diving,48
12,Equestrianism,11
13,Fencing,4
14,Figure Skating,15
15,Football,4
16,Freestyle Skiing,8
17,Golf,3
18,Gymnastics,35
19,Ice Hockey,3
20,Jeu De Paume,1
21,Judo,2
22,Nordic Combined,1
23,Polo,1
24,Roque,1
25,Rowing,33
26,Rugby,3
27,Sailing,19
28,Shooting,54
29,Short Track Speed Skating,4
30,Skeleton,3
31,Snowboarding,10
32,Softball,3
33,Speed Skating,29
34,Swimming,246
35,Synchronized Swimming,5
36,Taekwondo,2
37,Tennis,21
38,Triathlon,1
39,Tug-Of-War,1
40,Volleyball,3
41,Water Polo,3
42,Weightlifting,16
43,Wrestling,52
