年份, 世界GDP年增长率(%), 世界总失业率(%), 希腊GDP年增长率(%), 希腊总失业率(%), 
2012,2.51,5.61,-7.3,24.44, 
2011,3.18,5.61,-9.13,17.86, 
2010,4.31,5.78,-5.48,12.71, 
2009,-1.73,5.94,-4.3,9.62, 
2008,1.82,5.53,-0.34,7.76, 
2007,4.23,5.32,3.27,8.4, 
2006,4.31,5.6,5.65,9.01, 
2005,3.83,5.91,0.6,9.99, 
2004,4.45,6.05,5.06,10.31, 
2003,2.91,6.19,5.79,9.41, 
2002,2.16,6.23,3.92,9.97, 
2001,1.91,6.16,4.13,10.46, 
2000,4.39,6.32,3.92,11.25, 
1999,3.26,6.37,3.07,11.85, 
1998,2.53,6.29,3.89,10.84, 
1997,3.7,6.1,4.48,9.58, 
1996,3.39,6.01,2.86,9.66, 
