年份, 世界GDP年增长率(%), 世界总失业率(%), 澳大利亚GDP年增长率(%), 澳大利亚总失业率(%), 
2008,1.82,5.53,3.66,4.23, 
2007,4.23,5.32,3.78,4.38, 
2006,4.31,5.6,2.83,4.78, 
2005,3.83,5.91,3.19,5.03, 
2004,4.45,6.05,4,5.39, 
2003,2.91,6.19,2.99,5.93, 
2002,2.16,6.23,4,6.37, 
2001,1.91,6.16,1.93,6.74, 
2000,4.39,6.32,3.94,6.28, 
1999,3.26,6.37,5.02,6.87, 
1998,2.53,6.29,4.58,7.68, 
1997,3.7,6.1,3.97,8.36, 
1996,3.39,6.01,3.88,8.51, 
1995,3.03,5.92,3.83,8.47, 
1994,3.02,5.91,3.98,9.72, 
1993,1.56,5.71,4.04,10.87, 
1992,1.79,5.64,0.44,10.73, 
